Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Guest Houses,HAPPY LEONI HOTEL,"NO 329/6,MAHAWELA WATHTHA,5TH LANE,MEHENTHALE ROAD,ANURADHAPURA",10,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.487041,8.353516
Guest Houses,SANDADIYA GUEST HOUSE AND RESTAURANT,"DEBARAWEWA LAKE LANE,DEBARAWEWA,TISSAMAHARAMAYA",7,C,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.268153,6.287025
Guest Houses,ISURU RESTAURANT,"NO.42/B, KANDY ROAD, GELIOYA",12,B,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.597858,7.216917
Guest Houses,ROYAL BAR AND HOTEL,"NO 44,KINGS STREET,KANDY",6,A,Kandy,Kandy,Kandy Divisional Secretariat,80.63758,7.295276
Guest Houses,AARYA HOTEL,"KOLONGALLA ESTATE,RANDENIYA,HIRIWADUNNA",7,A,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.382392,7.272594
Guest Houses,THEVNI RECEPTION HALL AND HOLIDAY RESORT,"216,ARAKWILA,BOPE,PADUKKA",15,A,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,80.14494,6.817573
Guest Houses,MIRISSA BAY RESORT,"UDUPILA,MIRISSA",9,B,Matara,Uhana Pradeshiya Sabha,Weligama Divisional Secretariat,80.459803,5.944825
Guest Houses,NICE PLACE RESTURANT & BUNGALOWS,"INAMALUWA,DAMBULLA.",7,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.691631,7.909657
Guest Houses,DE SILVA WIND RESORT KALPITIYA,"PUDUKUDUIRUPPU,SEETHAWADI,KALPITIYA",9,B,Puttalam,Puttalam,Puttalam Divisional Secretariat,79.740314,8.230936
Guest Houses,TEA BUSH HOTEL,"NO:29,HADDON HILL ROAD,NUWARA ELIYA",9,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.762923,6.962004
Guest Houses,GRAND REGENT,"GALKOTUWA, POTHANA, KIMBISSA, SIGIRIYA",12,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.722325,7.934016
Guest Houses,THE HIDEOUT SIGIRIYA HOLIDAY RESORT,"PALUTAWA ROAD,RANGIRIGAMA,KIMBISSA",9,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.722329,7.934016
Guest Houses,ASVIKA HOTEL,"NO.09, SAWMIYAPURAM, KOTAGALA",14,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.597509,6.916606
Guest Houses,WIMAL RESORT,"274/24,PARANGIYA WATTA,PEELLAGODA,UNAWATUNA",9,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.248947,6.010034
Guest Houses,NIL DIYA MANKADA SAFARI LODGE,"C.D.E.PLACE,WALAWEGAMA,UDAWALAWA",5,A,Ratnapura,Embilipitiya,Embilipitiya Divisional Secretariat,80.840427,6.417966
Guest Houses,AMAL VILLA,"ROBOLGODA,BENTHOTA",7,A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.001058,6.411774
Guest Houses,PIGEON ISLAND VIEW GUEST HOUSE,"9TH MILE POST,NILAVELI",12,A,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.197698,8.686514
Guest Houses,CEYLONICA BEACH,"NO 47,LEWIS PLACE,NEGOMBO",10,B,Gampaha,Negombo,Negombo Divisional Secretariat,79.839985,7.222095
Guest Houses,CORAL SEAS BEACH RESORT,"N0.346, GALLE ROAD, HIKKADUWA",8,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.100077,6.134225
Guest Houses,AMANDA HILLS KANDY,"65, SARANANKARA ROAD, KANDY",12,B,Kandy,Kandy,Kandy Divisional Secretariat,80.641838,7.287181
Guest Houses,GAMODH CITADEL RESORT,"LOLUWAGODA ,ELAYAPATHTHUWA,ANURADHAPURA",10,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.364711,8.364036
Guest Houses,YALA CARAVAN VILLAGE,"84,GURUGODA,PALATUPANA,KIRINDA,TISSAMAHARAMAYA",8,A,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.372383,6.23996
Guest Houses,MUTHUWELI BEACH RESORT,"7/1A,NEW GALLE ROAD,EGODAUYANA,MORATUWA",5,B,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.894659,6.73596
Guest Houses,MIDKY HOTEL,"NO.405, KANDY ROAD, BAMBARAKELE, NUWARAELIYA",8,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.753551,6.981969
Guest Houses,NA SEVANA INN,"74,KANDY ROAD,WEWALDENIYA",10,B,Gampaha,Gampaha,Gampaha Divisional Secretariat,80.154731,7.198057
Guest Houses,SILVER RING VILLAGE HOTEL,"NO:52/1,KIDAGAMMULLA,GAMPAHA",8,B,Gampaha,Gampaha,Gampaha Divisional Secretariat,80.008895,7.080992
Guest Houses,HOTEL SUNHILL,"NO.18 UNIQUE VIEW ROAD,NUWARAELIYA",15,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.765423,6.963377
Guest Houses,ROYAL SEAWIND,"NO 26,BEACH ROOD POLHENA-MATARA.",11,B,Matara,Matara,Matara Divisional Secretariat,80.527579,5.936933
Guest Houses,RIVI RAS HOTEL,"50/2 DE SANAM ROAD,MT LAVINIA.",25,A,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.86366,6.836248
Guest Houses,AYUBOWAN GUEST HOUSE,"47/55 SCHOOL LANE ETTUKALA,NEGOMBO",6,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.843597,7.235167
Guest Houses,SAMREN RESTAURANT,"NO.126, SIRIBOPURA, HAMBANTOTA",12,B,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.126983,6.148158
Guest Houses,BEVERLY HILLS HOTEL,"NO.27,DE SARAM ROAD,MOUNT LAVINIA",24,B,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,79.86486,6.839056
Guest Houses,HILL HOUSE - KANDY,"NO:60/83,INNER CIRCULAR ROAD,ANIWATE,KANDY",11,A,Kandy,Kandy,Kandy Divisional Secretariat,80.650322,7.283531
